"","date","cycle_formation","annee_volee","phase","participants","journee","nombre_participants","niveau","critere","activite","score"
"53","10/11/2021","Cycle 2","Non concerné","Pilote","Enseignants","2","211","3","Manque de ressources matérielles","Général","66"
"54","10/11/2021","Cycle 2","Non concerné","Pilote","Enseignants","2","211","3","Manque de ressources temporelles","Général","73"
"55","10/11/2021","Cycle 2","Non concerné","Pilote","Enseignants","2","211","3","Manque de soutien technique et/ou pédagogique","Général","70"
"56","10/11/2021","Cycle 2","Non concerné","Pilote","Enseignants","2","211","3","Trop de travail","Encodage pixels","10"
"57","10/11/2021","Cycle 2","Non concerné","Pilote","Enseignants","2","211","3","Trop de travail","Algorithmes de tri de poids","9"
"58","10/11/2021","Cycle 2","Non concerné","Pilote","Enseignants","2","211","3","Trop de travail","Le robot peintre","11"
"59","10/11/2021","Cycle 2","Non concerné","Pilote","Enseignants","2","211","3","Trop de travail","Pages pour préparer ma classe","9"
"60","10/11/2021","Cycle 2","Non concerné","Pilote","Enseignants","2","211","3","Trop de travail","Pages avec mes élèves","13.8888888888889"
"61","10/11/2021","Cycle 2","Non concerné","Pilote","Enseignants","2","211","3","Trop de travail","Recherche internet en classe : droits et sources","6"
"62","10/11/2021","Cycle 2","Non concerné","Pilote","Enseignants","2","211","3","Trop de travail","Général","6"
"63","10/11/2021","Cycle 2","Non concerné","Pilote","Enseignants","2","211","4","Utilisation des ressources de formation","Encodage pixels","4"
"64","10/11/2021","Cycle 2","Non concerné","Pilote","Enseignants","2","211","4","Utilisation des ressources de formation","Algorithmes de tri de poids","5"
"65","10/11/2021","Cycle 2","Non concerné","Pilote","Enseignants","2","211","4","Utilisation des ressources de formation","Le robot peintre avec les blocs de programmation","4"
"66","10/11/2021","Cycle 2","Non concerné","Pilote","Enseignants","2","211","4","Utilisation des ressources de formation","Pages pour préparer ma classe","35"
"67","10/11/2021","Cycle 2","Non concerné","Pilote","Enseignants","2","211","4","Utilisation des ressources de formation","Pages avec mes élèves","43"
"68","10/11/2021","Cycle 2","Non concerné","Pilote","Enseignants","2","211","4","Utilisation des ressources de formation","Recherche internet en classe : droits et sources","38"
